timestamp,device,ecg_value
2026-08-21T17:34:36.329386,patient_01,1393
2026-08-21T17:34:36.329386,patient_01,1424
2026-08-21T17:34:36.329386,patient_01,1168
2026-08-21T17:34:36.329386,patient_01,1056
2026-08-21T17:34:36.329386,patient_01,1344
2026-08-21T17:34:36.329386,patient_01,1680
2026-08-21T17:34:36.329386,patient_01,1648
2026-08-21T17:34:36.329386,patient_01,1345
2026-08-21T17:34:36.329386,patient_01,1184
2026-08-21T17:34:36.329386,patient_01,1521
2026-08-21T17:34:36.329386,patient_01,1889
2026-08-21T17:34:36.329386,patient_01,1905
2026-08-21T17:34:36.329386,patient_01,1632
2026-08-21T17:34:36.329386,patient_01,1441
2026-08-21T17:34:36.329386,patient_01,1793
2026-08-21T17:34:36.329386,patient_01,2176
2026-08-21T17:34:36.388979,patient_01,2080
2026-08-21T17:34:36.388979,patient_01,1840
2026-08-21T17:34:36.388979,patient_01,1776
2026-08-21T17:34:36.388979,patient_01,2081
2026-08-21T17:34:36.388979,patient_01,2416
2026-08-21T17:34:36.388979,patient_01,2337
2026-08-21T17:34:36.388979,patient_01,2017
2026-08-21T17:34:36.388979,patient_01,1921
2026-08-21T17:34:36.388979,patient_01,2192
2026-08-21T17:34:36.388979,patient_01,2432
2026-08-21T17:34:36.388979,patient_01,2336
2026-08-21T17:34:36.388979,patient_01,1985
2026-08-21T17:34:36.388979,patient_01,1760
2026-08-21T17:34:36.388979,patient_01,1985
2026-08-21T17:34:36.388979,patient_01,2224
2026-08-21T17:34:36.388979,patient_01,2096
2026-08-21T17:34:36.388979,patient_01,1713
2026-08-21T17:34:36.388979,patient_01,1425
2026-08-21T17:34:36.388979,patient_01,1552
2026-08-21T17:34:36.388979,patient_01,1777
2026-08-21T17:34:36.388979,patient_01,1632
2026-08-21T17:34:36.388979,patient_01,1313
2026-08-21T17:34:36.388979,patient_01,1073
2026-08-21T17:34:36.388979,patient_01,1265
2026-08-21T17:34:36.388979,patient_01,1505
2026-08-21T17:34:36.509029,patient_01,1329
2026-08-21T17:34:36.509029,patient_01,1072
2026-08-21T17:34:36.509029,patient_01,881
2026-08-21T17:34:36.509029,patient_01,1120
2026-08-21T17:34:36.509029,patient_01,1361
2026-08-21T17:34:36.509029,patient_01,1281
2026-08-21T17:34:36.509029,patient_01,1056
2026-08-21T17:34:36.509029,patient_01,977
2026-08-21T17:34:36.509029,patient_01,1233
2026-08-21T17:34:36.509029,patient_01,1361
2026-08-21T17:34:36.509029,patient_01,1312
2026-08-21T17:34:36.509029,patient_01,1073
2026-08-21T17:34:36.509029,patient_01,993
2026-08-21T17:34:36.509029,patient_01,1248
2026-08-21T17:34:36.509029,patient_01,1553
2026-08-21T17:34:36.509029,patient_01,1569
2026-08-21T17:34:36.509029,patient_01,1393
2026-08-21T17:34:36.509029,patient_01,1265
2026-08-21T17:34:36.509029,patient_01,1585
2026-08-21T17:34:36.509029,patient_01,1825
2026-08-21T17:34:36.509029,patient_01,1745
2026-08-21T17:34:36.509029,patient_01,1537
2026-08-21T17:34:36.509029,patient_01,1393
2026-08-21T17:34:36.509029,patient_01,1664
2026-08-21T17:34:36.509029,patient_01,1952
2026-08-21T17:34:36.628891,patient_01,1793
2026-08-21T17:34:36.628891,patient_01,1536
2026-08-21T17:34:36.628891,patient_01,1440
2026-08-21T17:34:36.628891,patient_01,1713
2026-08-21T17:34:36.628891,patient_01,1984
2026-08-21T17:34:36.628891,patient_01,1952
2026-08-21T17:34:36.628891,patient_01,1696
2026-08-21T17:34:36.628891,patient_01,1584
2026-08-21T17:34:36.628891,patient_01,1872
2026-08-21T17:34:36.628891,patient_01,2065
